id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName;Price;description 
15970;Men;Apparel;Topwear;Shirts;Navy Blue;Fall;2011;Casual;Turtle Check Men Navy Blue Shirt;$35;Turtle Check Men's Navy Blue Shirt is a stylish and versatile wardrobe staple. Made from high-quality cotton, this shirt offers comfort and durability for everyday wear. Its classic navy blue color and check pattern provide a sophisticated look, making it perfect for both casual and semi-formal occasions
39386;Men;Apparel;Bottomwear;Jeans;Blue;Summer;2012;Casual;Peter England Men Party Blue Jeans;$20;The Peter England Men's Party Blue Jeans are a trendy and stylish addition to any wardrobe. Crafted from premium denim, these jeans offer exceptional comfort and a perfect fit, making them ideal for parties and social gatherings. Their striking blue color and modern design ensure you stand out while providing versatility for various occasions
59263;Women;Accessories;Watches;Watches;Silver;Winter;2016;Casual;Titan Women Silver Watch;$15;The Titan Women Silver Watch is an elegant and timeless accessory. Crafted from high-quality stainless steel, this silver watch combines durability with a sophisticated design. Its versatile style makes it perfect for both everyday wear and special occasions, adding a touch of elegance to any outfit
21379;Men;Apparel;Bottomwear;Track Pants;Black;Fall;2011;Casual;Manchester United Men Solid Black Track Pants;$39;Manchester United Men Solid Black Track Pants are designed for comfort and performance, making them ideal for workouts or casual wear. Crafted from breathable and lightweight fabric, these track pants ensure flexibility and ease of movement. With their sleek black color and iconic Manchester United branding, they offer a stylish look for any sports enthusiast or fan.
53759;Men;Apparel;Topwear;Tshirts;Grey;Summer;2012;Casual;Puma Men Grey T-shirt;$70;Puma Men Grey T-shirt is a lightweight and breathable essential for any active lifestyle. Crafted from soft, high-quality fabric, this shirt ensures comfort during workouts and casual outings alike. Its sleek grey design features the iconic Puma logo, making it a stylish choice that pairs well with any outfit.
1855;Men;Apparel;Topwear;Tshirts;Grey;Summer;2011;Casual;Inkfruit Mens Chain Reaction T-shirt;$85;Inkfruit Men's Chain Reaction T-shirt is a trendy and comfortable choice for casual outings. Crafted from soft, breathable cotton, this t-shirt features a vibrant graphic print that adds a unique flair to your wardrobe. Its lightweight design makes it perfect for all-day wear, whether you're lounging at home or out with friends.
30805;Men;Apparel;Topwear;Shirts;Green;Summer;2012;Ethnic;Fabindia Men Striped Green Shirt;$65;Fabindia Men's Striped Green Shirt is a trendy and comfortable addition to any wardrobe. Crafted from soft, breathable cotton, this shirt is perfect for warm weather and offers all-day comfort. Its unique striped design in vibrant green adds a touch of style, making it suitable for both casual outings and smart-casual events.
26960;Women;Apparel;Topwear;Shirts;Purple;Summer;2012;Casual;Jealous 21 Women Purple Shirt;$55;Jealous 21 Women's Purple Shirt is a trendy and chic addition to any wardrobe. Crafted from lightweight, breathable fabric, this shirt ensures all-day comfort while maintaining a stylish appearance. Its vibrant purple color and modern design make it ideal for both casual outings and dressier events, allowing you to express your unique style effortlessly.
29114;Men;Accessories;Socks;Socks;Navy Blue;Summer;2012;Casual;Puma Men Pack of 3 Socks;$99;The Puma Men Pack of 3 Socks includes a trio of comfortable and breathable socks designed for everyday wear. Available in classic black, white, and gray colors, these socks are made from a blend of cotton and polyester, ensuring durability and a soft feel. Their moisture-wicking properties and cushioned design provide excellent support, making them ideal for sports or casual outings.
30039;Men;Accessories;Watches;Watches;Black;Winter;2016;Casual;Skagen Men Black Watch;$75;The Skagen Men's Black Watch is a sleek and elegant timepiece designed for the modern man. Crafted from durable stainless steel with a minimalist black dial, it combines style and functionality for both everyday wear and special occasions. Its lightweight design and water resistance make it an ideal accessory for any lifestyle.
9204;Men;Footwear;Shoes;Casual Shoes;Black;Summer;2011;Casual;Puma Men Future Cat Remix SF Black Casual Shoes;$65;Puma Men Future Cat Remix SF Black Casual Shoes are a sleek and modern footwear choice designed for everyday comfort and style. Crafted from premium materials, these shoes feature a black colorway that adds versatility to any outfit. With their lightweight design and superior traction, they are perfect for casual outings and provide excellent performance on the go.
48123;Women;Accessories;Belts;Belts;Black;Summer;2012;Casual;Fossil Women Black Huarache Weave Belt;$35;Fossil Women’s Black Huarache Weave Belt is a chic accessory designed to elevate any outfit. Crafted from premium leather, this belt combines durability with a stylish woven texture that adds a unique touch. Its versatile black color makes it suitable for both casual and formal occasions, ensuring you look fashionable wherever you go.
18653;Men;Footwear;Flip Flops;Flip Flops;Black;Fall;2011;Casual;Fila Men Cush Flex Black Slippers;$20;The Fila Men Cush Flex Black Slippers are designed for ultimate comfort and relaxation. Crafted from soft, durable materials, these slippers feature a sleek black design that complements any casual outfit. Their cushioned footbed provides excellent support, making them ideal for lounging at home or quick outings.
47957;Women;Accessories;Bags;Handbags;Blue;Summer;2012;Casual;Murcia Women Blue Handbag;$15;Murcia Women’s Blue Handbag is an elegant accessory designed to complement any outfit. Crafted from premium synthetic leather, this handbag combines style and durability while providing ample space for daily essentials. Its chic blue hue adds a pop of color, making it perfect for both casual outings and formal events.
46885;Boys;Footwear;Flip Flops;Flip Flops;Navy Blue;Fall;2012;Casual;Ben 10 Boys Navy Blue Slippers;$39;Ben 10 Boys Navy Blue Slippers are fun and comfortable footwear designed for young fans of the popular series. Crafted from soft, durable materials, these slippers provide excellent support for everyday wear at home. With their eye-catching design and easy slip-on style, they are perfect for keeping little feet cozy while showcasing their favorite character.
12369;Men;Apparel;Topwear;Shirts;Purple;Fall;2011;Formal;Reid & Taylor Men Check Purple Shirts;$70;The Reid & Taylor Men's Check Purple Shirt is a modern and elegant addition to any man's wardrobe. Crafted from premium cotton, this shirt ensures comfort and breathability while maintaining a polished appearance. Its vibrant purple check pattern adds a unique flair, making it ideal for both professional settings and casual outings.
29928;Men;Accessories;Watches;Watches;Black;Winter;2016;Casual;Police Men Black Dial Watch PL12889JVSB;$85;The Police Men Black Dial Watch PL12889JVSB is a sleek and modern timepiece designed for the contemporary man. Featuring a striking black dial and stainless steel case, this watch is both durable and stylish, making it suitable for any occasion. Its water resistance and precise quartz movement ensure reliability and functionality, elevating your everyday look.
42419;Girls;Apparel;Topwear;Tops;White;Summer;2012;Casual;Gini and Jony Girls Knit White Top;$65;Gini and Jony Girls Knit White Top is a charming and comfortable addition to any young girl's wardrobe. Crafted from soft, breathable fabric, this top is perfect for everyday wear, ensuring both style and comfort. Its classic white color allows for versatile pairing with various bottoms, making it an ideal choice for playdates or family outings.
20851;Women;Accessories;Bags;Clutches;Red;Winter;2015;Casual;Spice Art Women Ribbon Embroidery Red Clutch;$55;The Spice Art Women Ribbon Embroidery Red Clutch is an elegant accessory that adds a pop of color to any outfit. Crafted from durable fabric, this clutch features intricate ribbon embroidery that showcases exquisite craftsmanship. Perfect for evening events or special occasions, it combines functionality with a chic design, making it a must-have for fashion-forward women.
47359;Women;Accessories;Bags;Handbags;Brown;Summer;2012;Casual;Baggit Women Brown Handbag;$99;Baggit Women Brown Handbag is a chic and functional accessory designed for modern women. Crafted from premium vegan leather, it features a rich brown color that adds elegance to any outfit. With ample space and stylish compartments, this handbag is perfect for daily use, ensuring you stay organized while looking fashionable.
17429;Men;Accessories;Watches;Watches;Black;Winter;2016;Casual;CASIO G-Shock Men Black Digital Watch G-7710-1DR G223;$75;CASIO G-Shock Men's Black Digital Watch G-7710-1DR G223 is a rugged and functional timepiece designed for adventurers. Featuring a durable resin case and band, this watch is water-resistant and shock-resistant, making it ideal for outdoor activities. Its sleek black design and digital display not only enhance its aesthetic appeal but also provide easy access to essential features like a stopwatch, alarm, and backlight.
12967;Men;Footwear;Sandal;Sandals;Black;Fall;2011;Casual;ADIDAS Men Spry M Black Sandals;$65;ADIDAS Men Spry M Black Sandals are designed for ultimate comfort and functionality. Crafted from durable synthetic materials, these sandals feature a sleek black color that pairs well with any casual outfit. Ideal for outdoor activities or everyday wear, their lightweight design and adjustable straps provide a secure fit and exceptional support
6842;Unisex;Accessories;Shoe Accessories;Shoe Accessories;Black;Summer;2011;Casual;Timberland Unisex Rubber Sole Brush Shoe Accessories;$35;Timberland Unisex Rubber Sole Brush Shoe Accessories are essential tools for maintaining your footwear. Crafted from durable materials, these brushes are designed specifically to clean and care for rubber soles, ensuring longevity and performance. Their ergonomic design allows for easy handling, making it simple to keep your shoes looking fresh and new
